time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494035466.0134499073,       -0.7231445312,        0.5751953125,       -0.0478515625,      -15.3503417969,        8.5449218750,      -42.1142578125
1494035466.0273849964,       -0.7231445312,        0.5751953125,       -0.0478515625,      -18.3715820312,        9.1857910156,      -37.6281738281
1494035466.0302538872,       -0.7231445312,        0.5751953125,       -0.0478515625,      -18.3715820312,        9.1857910156,      -37.6281738281
1494035466.0334060192,       -0.7109375000,        0.5229492188,       -0.0810546875,      -22.6745605469,       10.3149414062,      -33.0505371094
1494035466.0360910892,       -0.7109375000,        0.5229492188,       -0.0810546875,      -22.6745605469,       10.3149414062,      -33.0505371094
1494035466.0387649536,       -0.7109375000,        0.5229492188,       -0.0810546875,      -26.5655517578,       10.8184814453,      -29.4036865234
1494035466.0414359570,       -0.7109375000,        0.5019531250,       -0.0937500000,      -26.5655517578,       10.8184814453,      -29.4036865234
1494035466.0441188812,       -0.6660156250,        0.5019531250,       -0.0937500000,      -30.0598144531,       10.8642578125,      -26.0772705078
1494035466.0473859310,       -0.6660156250,        0.5019531250,       -0.0937500000,      -30.0598144531,       10.8642578125,      -23.9868164062
1494035466.0509130955,       -0.6660156250,        0.5019531250,       -0.0937500000,      -33.3709716797,       10.6201171875,      -23.9868164062
1494035466.0536780357,       -0.6210937500,        0.5048828125,       -0.0537109375,      -33.3709716797,       10.6201171875,      -23.1475830078
1494035466.0563719273,       -0.6210937500,        0.5048828125,       -0.0537109375,      -34.3170166016,       10.2233886719,      -23.1475830078
1494035466.0590689182,       -0.6210937500,        0.5048828125,       -0.0537109375,      -34.3170166016,       10.2233886719,      -21.5911865234
1494035466.0617609024,       -0.6210937500,        0.5722656250,       -0.0083007812,      -32.1502685547,        8.9416503906,      -21.5911865234
1494035466.0644340515,       -0.6523437500,        0.5722656250,       -0.0083007812,      -32.1502685547,        8.9416503906,      -19.3023681641
1494035466.0669860840,       -0.6523437500,        0.5722656250,       -0.0083007812,      -27.8015136719,        8.3160400391,      -19.3023681641
1494035466.0695369244,       -0.6523437500,        0.5722656250,       -0.0083007812,      -27.8015136719,        8.3160400391,      -19.3023681641
1494035466.0720860958,       -0.6523437500,        0.5854492188,        0.0209960938,      -23.7274169922,        7.1563720703,      -15.6860351562
1494035466.0746519566,       -0.7036132812,        0.5854492188,        0.0209960938,      -23.7274169922,        7.1563720703,      -15.6860351562
1494035466.0772070885,       -0.7036132812,        0.5854492188,        0.0209960938,      -20.1416015625,        5.9814453125,      -12.0544433594
1494035466.0797660351,       -0.7036132812,        0.5854492188,        0.0209960938,      -20.1416015625,        5.9814453125,      -12.0544433594
1494035466.0823209286,       -0.7338867188,        0.5478515625,        0.0190429688,      -16.7388916016,        5.3405761719,       -8.3923339844
1494035466.0850129128,       -0.7338867188,        0.5478515625,        0.0190429688,      -16.7388916016,        5.3405761719,       -8.3923339844
1494035466.0875699520,       -0.7338867188,        0.5478515625,        0.0190429688,      -14.4958496094,        4.4860839844,       -5.0659179688
1494035466.0901598930,       -0.7338867188,        0.5478515625,        0.0190429688,      -14.4958496094,        4.4860839844,       -5.0659179688
1494035466.0927090645,       -0.7387695312,        0.5576171875,       -0.0151367188,      -12.7716064453,        3.7384033203,       -1.5869140625
1494035466.0954720974,       -0.7387695312,        0.5576171875,       -0.0151367188,      -12.7716064453,        3.7384033203,       -1.5869140625
1494035466.0981719494,       -0.7387695312,        0.5576171875,       -0.0151367188,      -11.3372802734,        3.1585693359,        1.8920898438
1494035466.1010169983,       -0.7387695312,        0.5576171875,       -0.0151367188,      -11.3372802734,        3.1585693359,        1.8920898438
1494035466.1037249565,       -0.7451171875,        0.5292968750,       -0.0273437500,       -9.5977783203,        2.3651123047,        5.0048828125
1494035466.1064119339,       -0.7451171875,        0.5292968750,       -0.0273437500,       -9.5977783203,        2.3651123047,        5.0048828125
1494035466.1091070175,       -0.7451171875,        0.5292968750,       -0.0273437500,       -8.9111328125,        1.9378662109,        7.5378417969
1494035466.1117970943,       -0.7451171875,        0.5292968750,       -0.0122070312,       -8.9111328125,        1.9378662109,        7.5378417969
1494035466.1144280434,       -0.8378906250,        0.5375976562,       -0.0122070312,       -9.5214843750,        0.9307861328,        9.0332031250
1494035466.1169929504,       -0.8378906250,        0.5375976562,       -0.0122070312,       -9.5214843750,        0.9307861328,        9.0332031250
1494035466.1195418835,       -0.8378906250,        0.5375976562,       -0.0122070312,      -13.1225585938,       -1.8463134766,       16.2200927734
1494035466.1221070290,       -0.8378906250,        0.7875976562,        0.0688476562,      -13.1225585938,       -1.8463134766,       16.2200927734
1494035466.1246728897,       -0.9453125000,        0.7656250000,        0.0688476562,      -13.1225585938,       -6.7749023438,       22.5982666016
1494035466.1272280216,       -0.9453125000,        0.7656250000,        0.0688476562,      -16.9219970703,       -6.7749023438,       22.5982666016
1494035466.1297919750,       -0.9453125000,        0.7656250000,        0.0688476562,      -16.9219970703,       -6.7749023438,       30.3802490234
1494035466.1323449612,       -0.9453125000,        0.6137695312,        0.0449218750,       -9.0484619141,       -3.9367675781,       30.3802490234
1494035466.1350340843,       -1.1040039062,        0.6137695312,        0.0449218750,       -9.0484619141,       -3.9367675781,       31.0821533203
1494035466.1375880241,       -1.1040039062,        0.6137695312,        0.0449218750,       -8.8043212891,       -1.3427734375,       31.0821533203
1494035466.1401400566,       -1.1040039062,        0.6137695312,        0.0449218750,       -8.8043212891,       -1.3427734375,       31.0821533203
1494035466.1426999569,       -1.1040039062,        0.3330078125,       -0.0737304688,      -11.0321044922,       -2.1362304688,       33.6456298828
1494035466.1454410553,       -1.0205078125,        0.3330078125,       -0.0737304688,      -11.0321044922,       -2.1362304688,       33.6456298828
1494035466.1481270790,       -1.0205078125,        0.3330078125,       -0.0737304688,      -12.1002197266,       -4.3945312500,       34.6527099609
1494035466.1508989334,       -1.0205078125,        0.3330078125,       -0.0737304688,      -12.1002197266,       -4.3945312500,       34.6527099609
1494035466.1535980701,       -0.8291015625,        0.0512695312,       -0.1093750000,      -14.9841308594,       -5.2337646484,       33.5845947266
1494035466.1562919617,       -0.8291015625,        0.0512695312,       -0.1093750000,      -14.9841308594,       -5.2337646484,       33.5845947266
1494035466.1589889526,       -0.8291015625,        0.0512695312,       -0.1093750000,      -15.4266357422,       -5.2490234375,       33.1420898438
1494035466.1616890430,       -0.8291015625,        0.0512695312,       -0.1093750000,      -15.4266357422,       -5.2490234375,       33.1420898438
1494035466.1643309593,       -0.7485351562,        0.2065429688,       -0.1137695312,      -12.8479003906,       -5.2795410156,       32.1502685547
1494035466.1668829918,       -0.7485351562,        0.2065429688,       -0.1137695312,      -12.8479003906,       -5.2795410156,       32.1502685547
