time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494038104.0075221062,       -0.7319335938,        0.1152343750,        0.0673828125,       11.5814208984,       -6.0577392578,        5.6304931641
1494038104.0175650120,       -0.7319335938,        0.1152343750,        0.0673828125,       12.2985839844,       -6.1645507812,        6.6680908203
1494038104.0203731060,       -0.7319335938,        0.1152343750,        0.0673828125,       12.2985839844,       -6.1645507812,        6.6680908203
1494038104.0229361057,       -0.7294921875,        0.1293945312,        0.0561523438,       12.2985839844,       -6.3171386719,        7.0495605469
1494038104.0255570412,       -0.7294921875,        0.1293945312,        0.0561523438,       12.2222900391,       -6.3171386719,        7.0495605469
1494038104.0281059742,       -0.7294921875,        0.1293945312,        0.0561523438,       12.2222900391,       -6.3171386719,        7.3394775391
1494038104.0306560993,       -0.7294921875,        0.1293945312,        0.0561523438,       11.6729736328,       -6.2713623047,        7.3394775391
1494038104.0332140923,       -0.7397460938,        0.1274414062,        0.0634765625,       11.6729736328,       -6.2713623047,        8.2397460938
1494038104.0357639790,       -0.7397460938,        0.1274414062,        0.0634765625,       10.2844238281,       -6.4544677734,        8.2397460938
1494038104.0383059978,       -0.7397460938,        0.1274414062,        0.0634765625,       10.2844238281,       -6.4544677734,        8.2397460938
1494038104.0408499241,       -0.7397460938,        0.1274414062,        0.0634765625,        8.9263916016,       -6.5917968750,        8.8043212891
1494038104.0434648991,       -0.7280273438,        0.1152343750,        0.0634765625,        8.9263916016,       -6.5917968750,        8.8043212891
1494038104.0460100174,       -0.7280273438,        0.1152343750,        0.0634765625,        7.7362060547,       -6.4544677734,        9.4757080078
1494038104.0485539436,       -0.7280273438,        0.1152343750,        0.0634765625,        7.7362060547,       -6.4544677734,        9.4757080078
1494038104.0511050224,       -0.7280273438,        0.1152343750,        0.0634765625,        6.5612792969,       -6.6833496094,        9.9945068359
1494038104.0538129807,       -0.7270507812,        0.1201171875,        0.0698242188,        6.5612792969,       -6.6833496094,        9.9945068359
1494038104.0563650131,       -0.7270507812,        0.1201171875,        0.0698242188,        5.5389404297,       -6.3171386719,       10.1165771484
1494038104.0589129925,       -0.7270507812,        0.1201171875,        0.0698242188,        5.5389404297,       -6.3171386719,       10.1165771484
1494038104.0614559650,       -0.7270507812,        0.1201171875,        0.0698242188,        4.7149658203,       -6.2561035156,       10.4522705078
1494038104.0641551018,       -0.7104492188,        0.1318359375,        0.0698242188,        4.7149658203,       -6.2561035156,       10.4522705078
1494038104.0666999817,       -0.7104492188,        0.1318359375,        0.0698242188,        4.2419433594,       -6.2713623047,       10.7116699219
1494038104.0692429543,       -0.7104492188,        0.1318359375,        0.0698242188,        4.2419433594,       -6.2713623047,       10.7116699219
1494038104.0717949867,       -0.7104492188,        0.1318359375,        0.0854492188,        4.2419433594,       -6.1035156250,       10.9558105469
1494038104.0743479729,       -0.7187500000,        0.1499023438,        0.0854492188,        4.0130615234,       -6.1035156250,       10.9558105469
1494038104.0769000053,       -0.7187500000,        0.1499023438,        0.0854492188,        4.0130615234,       -6.1035156250,       11.0321044922
1494038104.0794448853,       -0.7187500000,        0.1499023438,        0.0854492188,        4.8675537109,       -6.2561035156,       11.0321044922
1494038104.0819950104,       -0.7187500000,        0.1518554688,        0.0830078125,        4.8675537109,       -6.2561035156,       11.0321044922
1494038104.0846879482,       -0.7250976562,        0.1518554688,        0.0830078125,        5.4779052734,       -6.2866210938,       10.8642578125
1494038104.0875279903,       -0.7250976562,        0.1518554688,        0.0830078125,        5.4779052734,       -6.2866210938,       11.0168457031
1494038104.0902190208,       -0.7250976562,        0.1518554688,        0.0830078125,        6.0729980469,       -6.9122314453,       11.0168457031
1494038104.0929129124,       -0.7172851562,        0.1577148438,        0.0659179688,        6.0729980469,       -6.9122314453,       11.0168457031
1494038104.0956010818,       -0.7172851562,        0.1577148438,        0.0659179688,        6.4697265625,       -6.7291259766,       11.2304687500
1494038104.0982949734,       -0.7172851562,        0.1577148438,        0.0659179688,        6.4697265625,       -6.7291259766,       11.2304687500
1494038104.1009759903,       -0.7172851562,        0.1577148438,        0.0659179688,        6.9885253906,       -7.1868896484,       11.2457275391
1494038104.1036550999,       -0.7221679688,        0.1503906250,        0.0610351562,        6.9885253906,       -7.1868896484,       11.2457275391
1494038104.1062068939,       -0.7221679688,        0.1503906250,        0.0610351562,        8.3007812500,       -7.5531005859,       10.7727050781
1494038104.1087539196,       -0.7221679688,        0.1503906250,        0.0610351562,        8.3007812500,       -7.5531005859,       10.7727050781
1494038104.1113009453,       -0.7221679688,        0.1503906250,        0.0610351562,        9.3994140625,       -8.0261230469,       10.6353759766
1494038104.1138720512,       -0.7119140625,        0.1850585938,        0.0532226562,        9.3994140625,       -8.0261230469,       10.6353759766
1494038104.1164278984,       -0.7119140625,        0.1850585938,        0.0532226562,       10.6811523438,       -8.6059570312,       10.7879638672
1494038104.1189858913,       -0.7119140625,        0.1850585938,        0.0532226562,       10.6811523438,       -8.6059570312,       10.7879638672
1494038104.1216619015,       -0.7119140625,        0.1850585938,        0.0532226562,       11.6424560547,       -8.9416503906,       10.4217529297
1494038104.1243131161,       -0.7290039062,        0.1708984375,        0.0419921875,       11.6424560547,       -8.9416503906,       10.4217529297
1494038104.1270110607,       -0.7290039062,        0.1708984375,        0.0419921875,       11.9018554688,       -9.5214843750,       10.1318359375
1494038104.1297090054,       -0.7290039062,        0.1708984375,        0.0419921875,       11.9018554688,       -9.5214843750,       10.1318359375
