time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494038874.0095369816,       -0.7490234375,        0.1479492188,       -0.0576171875,       12.5579833984,      -26.6418457031,        6.1645507812
1494038874.0173559189,       -0.7490234375,        0.1479492188,       -0.0947265625,       12.5579833984,      -25.7110595703,        6.6986083984
1494038874.0201549530,       -0.7646484375,        0.1210937500,       -0.0947265625,       11.9323730469,      -25.7110595703,        6.6986083984
1494038874.0228559971,       -0.7646484375,        0.1210937500,       -0.0947265625,        4.1198730469,      -26.0925292969,        7.9650878906
1494038874.0255599022,       -0.7646484375,        0.1210937500,       -0.0947265625,        7.0800781250,      -26.0925292969,        7.9650878906
1494038874.0282568932,       -0.6396484375,        0.1284179688,       -0.0615234375,        7.0800781250,      -25.9094238281,        9.4604492188
1494038874.0309479237,       -0.7446289062,        0.1284179688,       -0.0615234375,        2.0904541016,      -25.9094238281,        9.4604492188
1494038874.0336859226,       -0.7446289062,        0.1284179688,       -0.0615234375,        2.0904541016,      -24.4140625000,       11.4593505859
1494038874.0363841057,       -0.7446289062,        0.1284179688,       -0.0615234375,       -0.9765625000,      -24.4140625000,       11.4593505859
1494038874.0390849113,       -0.7421875000,        0.1616210938,       -0.0288085938,       -0.9765625000,      -22.2778320312,       11.9628906250
1494038874.0417799950,       -0.7421875000,        0.1616210938,       -0.0288085938,       -2.5329589844,      -22.2778320312,       11.9628906250
1494038874.0444250107,       -0.7421875000,        0.1616210938,       -0.0288085938,       -2.5329589844,      -22.2778320312,       11.8255615234
1494038874.0469849110,       -0.7421875000,        0.1616210938,       -0.0288085938,       -2.0751953125,      -20.3094482422,       11.8255615234
1494038874.0495469570,       -0.7426757812,        0.1889648438,       -0.0302734375,       -2.0751953125,      -20.3094482422,       11.7950439453
1494038874.0521090031,       -0.7426757812,        0.1889648438,       -0.0302734375,       -1.4648437500,      -19.8364257812,       11.7950439453
1494038874.0546720028,       -0.7426757812,        0.1889648438,       -0.0302734375,       -1.4648437500,      -19.8364257812,       11.7950439453
1494038874.0572240353,       -0.7426757812,        0.1889648438,       -0.0302734375,       -1.6326904297,      -18.9361572266,       11.2915039062
1494038874.0597798824,       -0.7412109375,        0.1665039062,       -0.0263671875,       -1.6326904297,      -18.9361572266,       11.2915039062
1494038874.0623369217,       -0.7412109375,        0.1665039062,       -0.0263671875,       -1.6784667969,      -18.3715820312,       11.1999511719
1494038874.0650210381,       -0.7412109375,        0.1665039062,       -0.0263671875,       -1.6784667969,      -18.3715820312,       11.1999511719
1494038874.0675830841,       -0.7412109375,        0.1665039062,       -0.0263671875,       -0.8850097656,      -17.9138183594,       11.7340087891
1494038874.0701420307,       -0.7299804688,        0.1831054688,       -0.0219726562,       -0.8850097656,      -17.9138183594,       11.7340087891
1494038874.0726950169,       -0.7299804688,        0.1831054688,       -0.0219726562,        0.8239746094,      -17.7917480469,       11.7492675781
1494038874.0754630566,       -0.7299804688,        0.1831054688,       -0.0219726562,        0.8239746094,      -17.7917480469,       11.7492675781
1494038874.0781629086,       -0.7299804688,        0.1831054688,       -0.0249023438,        2.9754638672,      -17.6391601562,       11.7645263672
1494038874.0808610916,       -0.7402343750,        0.1860351562,       -0.0249023438,        2.9754638672,      -17.6391601562,       11.7645263672
1494038874.0835731030,       -0.7402343750,        0.1860351562,       -0.0249023438,        5.3100585938,      -17.1661376953,       11.2304687500
1494038874.0862660408,       -0.7402343750,        0.1860351562,       -0.0249023438,        5.3100585938,      -17.1661376953,       11.2304687500
1494038874.0891349316,       -0.7456054688,        0.1713867188,       -0.0468750000,        6.2255859375,      -16.2963867188,       11.2152099609
1494038874.0918350220,       -0.7456054688,        0.1713867188,       -0.0468750000,        6.2255859375,      -16.2963867188,       11.2152099609
1494038874.0945429802,       -0.7456054688,        0.1713867188,       -0.0468750000,        5.7830810547,      -15.5944824219,       11.6271972656
1494038874.0972480774,       -0.7456054688,        0.1713867188,       -0.0468750000,        5.7830810547,      -15.5944824219,       11.6271972656
1494038874.0999419689,       -0.7333984375,        0.1655273438,       -0.0361328125,        3.5400390625,      -14.9383544922,       12.0086669922
1494038874.1026299000,       -0.7333984375,        0.1655273438,       -0.0361328125,        3.5400390625,      -14.9383544922,       12.0086669922
1494038874.1052300930,       -0.7333984375,        0.1655273438,       -0.0361328125,       -1.3275146484,      -14.3585205078,       12.8479003906
1494038874.1077780724,       -0.7333984375,        0.1655273438,       -0.0361328125,       -1.3275146484,      -14.3585205078,       12.8479003906
1494038874.1103351116,       -0.7397460938,        0.1533203125,       -0.0297851562,       -6.6070556641,      -13.5345458984,       12.9547119141
1494038874.1128919125,       -0.7397460938,        0.1533203125,       -0.0297851562,       -6.6070556641,      -13.5345458984,       12.9547119141
1494038874.1156179905,       -0.7397460938,        0.1533203125,       -0.0297851562,      -10.5133056641,      -12.9852294922,       13.4277343750
1494038874.1181828976,       -0.7397460938,        0.1533203125,       -0.0297851562,      -10.0250244141,      -12.9852294922,       13.4277343750
1494038874.1207399368,       -0.7275390625,        0.1674804688,       -0.0380859375,      -10.0250244141,      -12.9852294922,       13.7176513672
1494038874.1234219074,       -0.7275390625,        0.1674804688,       -0.0380859375,      -11.6882324219,      -12.0239257812,       13.7176513672
1494038874.1261041164,       -0.7275390625,        0.1674804688,       -0.0380859375,      -11.6882324219,       -8.1176757812,       13.7786865234
1494038874.1287839413,       -0.7275390625,        0.1831054688,       -0.0410156250,      -11.4746093750,      -11.4440917969,       13.7786865234
1494038874.1315550804,       -0.7329101562,        0.1831054688,       -0.0410156250,      -11.4746093750,      -11.4440917969,       13.4582519531
1494038874.1342699528,       -0.7329101562,        0.1831054688,       -0.0410156250,      -10.8337402344,      -11.5051269531,       13.4582519531
1494038874.1369628906,       -0.7329101562,        0.1831054688,       -0.0410156250,      -10.8337402344,      -11.5051269531,       13.8854980469
1494038874.1396698952,       -0.7490234375,        0.1616210938,       -0.0478515625,      -10.4064941406,      -11.4135742188,       13.8854980469
1494038874.1423749924,       -0.7490234375,        0.1616210938,       -0.0478515625,      -10.4064941406,      -11.4135742188,       13.9007568359
1494038874.1450829506,       -0.7490234375,        0.1616210938,       -0.0478515625,      -10.2539062500,      -11.4135742188,       13.9007568359
1494038874.1477890015,       -0.7490234375,        0.1616210938,       -0.0478515625,      -10.2539062500,      -11.4135742188,       14.1601562500
1494038874.1504869461,       -0.7377929688,        0.1821289062,       -0.0454101562,       -9.2773437500,      -11.6577148438,       14.1601562500
1494038874.1531980038,       -0.7377929688,        0.1821289062,       -0.0454101562,       -9.2773437500,      -11.6577148438,       14.6636962891
1494038874.1558940411,       -0.7377929688,        0.1821289062,       -0.0454101562,       -8.3923339844,      -11.2915039062,       14.6636962891
1494038874.1585929394,       -0.7377929688,        0.1821289062,       -0.0600585938,       -8.3923339844,      -11.2915039062,       14.5874023438
1494038874.1614120007,       -0.7294921875,        0.1962890625,       -0.0600585938,       -7.9803466797,      -10.9710693359,       14.5874023438
1494038874.1640880108,       -0.7294921875,        0.1962890625,       -0.0600585938,       -7.9803466797,      -10.9710693359,       14.2669677734
1494038874.1666429043,       -0.7294921875,        0.1962890625,       -0.0600585938,       -9.6740722656,      -10.8489990234,       14.2669677734
1494038874.1692020893,       -0.7294921875,        0.1791992188,       -0.0703125000,       -9.6740722656,      -10.8489990234,       14.2669677734
1494038874.1717619896,       -0.7377929688,        0.1791992188,       -0.0703125000,      -14.7705078125,      -11.0473632812,       14.6179199219
1494038874.1744310856,       -0.7377929688,        0.1791992188,       -0.0703125000,      -14.7705078125,      -11.0473632812,       14.6179199219
1494038874.1769950390,       -0.7377929688,        0.1791992188,       -0.0703125000,      -17.8375244141,      -10.6811523438,       14.7857666016
1494038874.1795558929,       -0.7377929688,        0.1738281250,       -0.0371093750,      -17.8375244141,      -10.6811523438,       14.7857666016
1494038874.1821238995,       -0.7202148438,        0.1738281250,       -0.0371093750,      -20.5078125000,      -10.1165771484,       15.9759521484
1494038874.1848590374,       -0.7202148438,        0.1738281250,       -0.0371093750,      -20.5078125000,      -10.1165771484,       15.9759521484
1494038874.1875569820,       -0.7202148438,        0.1738281250,       -0.0371093750,      -23.3459472656,       -9.9487304688,       16.9219970703
1494038874.1902589798,       -0.7104492188,        0.1801757812,       -0.0429687500,      -23.3459472656,       -9.9487304688,       16.9219970703
1494038874.1929569244,       -0.7104492188,        0.1801757812,       -0.0429687500,      -27.1301269531,       -9.2926025391,       17.3339843750
1494038874.1957039833,       -0.7104492188,        0.1801757812,       -0.0429687500,      -27.1301269531,       -9.2926025391,       17.3339843750
1494038874.1984009743,       -0.7104492188,        0.1801757812,       -0.0429687500,      -30.8532714844,       -7.8735351562,       17.5018310547
1494038874.2011020184,       -0.7138671875,        0.1835937500,       -0.0258789062,      -30.8532714844,       -7.8735351562,       17.5018310547
1494038874.2037839890,       -0.7138671875,        0.1835937500,       -0.0258789062,      -32.6843261719,       -5.9967041016,       17.7459716797
1494038874.2063460350,       -0.7138671875,        0.1835937500,       -0.0258789062,      -32.6843261719,       -5.9967041016,       17.7459716797
1494038874.2089099884,       -0.7138671875,        0.1835937500,       -0.0258789062,      -32.2265625000,       -5.0201416016,       18.1732177734
1494038874.2114720345,       -0.7192382812,        0.1987304688,       -0.0190429688,      -32.2265625000,       -5.0201416016,       18.1732177734
1494038874.2141139507,       -0.7192382812,        0.1987304688,       -0.0190429688,      -32.1960449219,       -4.5013427734,       18.5394287109
1494038874.2168209553,       -0.7192382812,        0.1987304688,       -0.0190429688,      -32.1960449219,       -4.5013427734,       18.5394287109
1494038874.2196390629,       -0.7192382812,        0.1987304688,       -0.0190429688,      -32.1807861328,       -3.4179687500,       18.8751220703
1494038874.2221989632,       -0.7333984375,        0.1958007812,       -0.0190429688,      -32.1807861328,       -3.4179687500,       18.8751220703
1494038874.2250070572,       -0.7333984375,        0.1958007812,       -0.0190429688,      -30.9753417969,       -2.2583007812,       19.0277099609
1494038874.2276659012,       -0.7333984375,        0.1958007812,       -0.0190429688,      -30.9753417969,       -2.2583007812,       19.0277099609
1494038874.2304439545,       -0.7299804688,        0.2065429688,        0.0112304688,      -29.5104980469,       -1.7547607422,       19.4091796875
1494038874.2332060337,       -0.7299804688,        0.2065429688,        0.0112304688,      -29.5104980469,       -1.7547607422,       19.4091796875
1494038874.2362589836,       -0.7299804688,        0.2065429688,        0.0112304688,      -28.3966064453,       -1.5563964844,       19.2871093750
1494038874.2389640808,       -0.7299804688,        0.2065429688,        0.0112304688,      -28.3966064453,       -1.5563964844,       19.2871093750
1494038874.2416539192,       -0.7324218750,        0.2187500000,       -0.0190429688,      -27.3590087891,       -1.1291503906,       19.8974609375
1494038874.2443599701,       -0.7324218750,        0.2187500000,       -0.0190429688,      -27.3590087891,       -1.1291503906,       19.8974609375
1494038874.2470560074,       -0.7324218750,        0.2187500000,       -0.0190429688,      -27.0233154297,       -1.2207031250,       19.2413330078
1494038874.2497529984,       -0.7324218750,        0.2187500000,       -0.0332031250,      -27.0233154297,       -1.2207031250,       19.2413330078
1494038874.2524399757,       -0.7416992188,        0.1923828125,       -0.0332031250,      -26.0772705078,       -1.4038085938,       19.1802978516
1494038874.2550570965,       -0.7416992188,        0.1923828125,       -0.0332031250,      -26.0772705078,       -1.4038085938,       19.1802978516
1494038874.2576160431,       -0.7416992188,        0.1923828125,       -0.0332031250,      -24.9481201172,       -1.9531250000,       18.6157226562
1494038874.2601759434,       -0.7416992188,        0.2314453125,       -0.0468750000,      -24.9481201172,       -1.9531250000,       18.6157226562
1494038874.2627289295,       -0.7177734375,        0.2314453125,       -0.0468750000,      -23.4985351562,       -2.4414062500,       18.1274414062
1494038874.2652909756,       -0.7177734375,        0.2314453125,       -0.0468750000,      -23.4985351562,       -2.4414062500,       18.1274414062
1494038874.2678470612,       -0.7177734375,        0.2314453125,       -0.0468750000,      -23.4985351562,       -3.1585693359,       17.3187255859
1494038874.2704069614,       -0.7177734375,        0.2583007812,       -0.0766601562,      -21.8963623047,       -3.1585693359,       17.3187255859
1494038874.2729649544,       -0.7065429688,        0.2583007812,       -0.0766601562,      -21.8963623047,       -3.1585693359,       16.8457031250
1494038874.2755711079,       -0.7065429688,        0.2583007812,       -0.0766601562,      -19.6685791016,       -4.2877197266,       16.8457031250
1494038874.2781291008,       -0.7065429688,        0.2583007812,       -0.0766601562,      -19.6685791016,       -4.2877197266,       16.8457031250
1494038874.2806808949,       -0.7216796875,        0.2265625000,       -0.0732421875,      -17.6391601562,       -4.9285888672,       16.1895751953
1494038874.2833220959,       -0.7216796875,        0.2265625000,       -0.0732421875,      -17.6391601562,       -4.9285888672,       16.1895751953
1494038874.2858829498,       -0.7216796875,        0.2265625000,       -0.0732421875,      -17.0288085938,       -5.5389404297,       15.7470703125
1494038874.2884409428,       -0.7216796875,        0.2265625000,       -0.0732421875,      -17.0288085938,       -5.5389404297,       15.7470703125
1494038874.2909960747,       -0.7314453125,        0.2084960938,       -0.0478515625,      -17.0135498047,       -5.7220458984,       15.5944824219
1494038874.2936758995,       -0.7314453125,        0.2084960938,       -0.0478515625,      -17.0135498047,       -5.7220458984,       15.5944824219
1494038874.2963829041,       -0.7314453125,        0.2084960938,       -0.0478515625,      -16.5405273438,       -6.2255859375,       15.7470703125
1494038874.2990770340,       -0.7314453125,        0.2084960938,       -0.0478515625,      -16.5405273438,       -6.2255859375,       15.7470703125
1494038874.3017730713,       -0.7265625000,        0.2329101562,       -0.0268554688,      -15.9454345703,       -6.0729980469,       15.9606933594
1494038874.3044180870,       -0.7265625000,        0.2329101562,       -0.0268554688,      -15.9454345703,       -6.0729980469,       15.9606933594
1494038874.3069770336,       -0.7265625000,        0.2329101562,       -0.0268554688,      -14.6026611328,       -6.6528320312,       16.0369873047
1494038874.3096370697,       -0.7265625000,        0.2329101562,       -0.0268554688,      -14.6026611328,       -6.6528320312,       16.0369873047
1494038874.3122000694,       -0.7280273438,        0.2246093750,        0.0043945312,      -13.5650634766,       -6.0272216797,       15.6402587891
1494038874.3149011135,       -0.7280273438,        0.2246093750,        0.0043945312,      -13.5650634766,       -6.0272216797,       15.6402587891
1494038874.3176009655,       -0.7280273438,        0.2246093750,        0.0043945312,      -11.5814208984,       -6.3323974609,       15.5334472656
1494038874.3203010559,       -0.7280273438,        0.2246093750,        0.0048828125,      -11.5814208984,       -6.3323974609,       15.5334472656
1494038874.3230040073,       -0.7163085938,        0.2495117188,        0.0048828125,       -9.4909667969,       -6.2561035156,       15.2130126953
1494038874.3257091045,       -0.7163085938,        0.2495117188,        0.0048828125,       -9.4909667969,       -6.2561035156,       15.2130126953
1494038874.3283970356,       -0.7163085938,        0.2495117188,        0.0048828125,       -7.1258544922,       -6.7291259766,       14.4195556641
1494038874.3310830593,       -0.7163085938,        0.2436523438,        0.0039062500,       -7.1258544922,       -6.7291259766,       14.4195556641
1494038874.3337790966,       -0.7250976562,        0.2436523438,        0.0039062500,       -4.6844482422,       -6.7443847656,       14.5568847656
1494038874.3364729881,       -0.7250976562,        0.2436523438,        0.0039062500,       -4.6844482422,       -6.7443847656,       14.5568847656
1494038874.3391649723,       -0.7250976562,        0.2436523438,        0.0039062500,       -2.0904541016,       -6.0577392578,       14.1754150391
1494038874.3418610096,       -0.7348632812,        0.2250976562,        0.0083007812,       -2.0904541016,       -6.0577392578,       14.1754150391
1494038874.3445720673,       -0.7348632812,        0.2250976562,        0.0083007812,        0.0152587891,       -6.5612792969,       14.3280029297
1494038874.3472700119,       -0.7348632812,        0.2250976562,        0.0083007812,        0.0152587891,       -6.5612792969,       14.3280029297
1494038874.3501191139,       -0.7348632812,        0.2250976562,        0.0083007812,        0.8087158203,       -7.5378417969,       14.8468017578
1494038874.3528239727,       -0.7270507812,        0.2338867188,       -0.0258789062,        0.8087158203,       -7.5378417969,       14.8468017578
1494038874.3554100990,       -0.7270507812,        0.2338867188,       -0.0258789062,        1.0833740234,       -7.8125000000,       15.5334472656
1494038874.3579618931,       -0.7270507812,        0.2338867188,       -0.0258789062,        1.0833740234,       -7.8125000000,       15.5334472656
1494038874.3605160713,       -0.7270507812,        0.2338867188,       -0.0512695312,        1.0833740234,       -8.3007812500,       15.5639648438
1494038874.3630640507,       -0.7172851562,        0.2304687500,       -0.0512695312,        1.1596679688,       -8.3007812500,       15.5639648438
1494038874.3657710552,       -0.7172851562,        0.2304687500,       -0.0512695312,        1.1596679688,       -8.3618164062,       16.0980224609
1494038874.3684680462,       -0.7172851562,        0.2304687500,       -0.0512695312,        0.1831054688,       -8.3618164062,       16.0980224609
1494038874.3711678982,       -0.7172851562,        0.2255859375,       -0.0307617188,        0.1831054688,       -7.6293945312,       16.5863037109
1494038874.3738739491,       -0.7167968750,        0.2255859375,       -0.0307617188,       -1.4648437500,       -7.6293945312,       16.5863037109
1494038874.3765649796,       -0.7167968750,        0.2255859375,       -0.0307617188,       -1.4648437500,       -7.5225830078,       17.1508789062
1494038874.3792569637,       -0.7167968750,        0.2255859375,       -0.0307617188,       -2.1972656250,       -7.5225830078,       17.1508789062
1494038874.3820559978,       -0.7080078125,        0.2465820312,       -0.0356445312,       -2.1972656250,       -8.0108642578,       17.6544189453
1494038874.3846960068,       -0.7080078125,        0.2465820312,       -0.0356445312,       -1.9989013672,       -8.0108642578,       17.6544189453
1494038874.3872599602,       -0.7080078125,        0.2465820312,       -0.0356445312,       -1.9989013672,       -8.0108642578,       17.8222656250
1494038874.3898119926,       -0.7080078125,        0.2465820312,       -0.0356445312,       -1.5716552734,       -7.9193115234,       17.8222656250
1494038874.3923718929,       -0.7041015625,        0.2543945312,       -0.0209960938,       -1.5716552734,       -7.9193115234,       17.8985595703
1494038874.3951039314,       -0.7041015625,        0.2543945312,       -0.0209960938,       -0.1678466797,       -9.0026855469,       17.8985595703
1494038874.3976619244,       -0.7041015625,        0.2543945312,       -0.0209960938,       -0.1678466797,       -9.0026855469,       17.8985595703
1494038874.4002211094,       -0.7041015625,        0.2543945312,       -0.0209960938,        1.2207031250,       -9.4757080078,       17.8222656250
1494038874.4027769566,       -0.7226562500,        0.2451171875,       -0.0073242188,        1.2207031250,       -9.4757080078,       17.8222656250
1494038874.4054780006,       -0.7226562500,        0.2451171875,       -0.0073242188,        2.6702880859,       -9.0789794922,       17.7917480469
1494038874.4080400467,       -0.7226562500,        0.2451171875,       -0.0073242188,        2.6702880859,       -9.0789794922,       17.7917480469
1494038874.4105980396,       -0.7226562500,        0.2451171875,       -0.0073242188,        4.0893554688,       -9.3841552734,       18.0511474609
1494038874.4131970406,       -0.7260742188,        0.2402343750,        0.0029296875,        4.0893554688,       -9.3841552734,       18.0511474609
1494038874.4158940315,       -0.7260742188,        0.2402343750,        0.0029296875,        4.8828125000,       -9.3231201172,       18.7225341797
1494038874.4185969830,       -0.7260742188,        0.2402343750,        0.0029296875,        4.8828125000,       -9.3231201172,       18.7225341797
1494038874.4212889671,       -0.7260742188,        0.2402343750,        0.0009765625,        5.4016113281,       -9.0179443359,       18.5852050781
1494038874.4239909649,       -0.7133789062,        0.2475585938,        0.0009765625,        5.4016113281,       -9.0179443359,       18.5852050781
1494038874.4267930984,       -0.7133789062,        0.2475585938,        0.0009765625,        5.5999755859,       -8.6975097656,       18.6462402344
1494038874.4293448925,       -0.7133789062,        0.2475585938,        0.0009765625,        5.5999755859,       -8.6975097656,       18.6462402344
1494038874.4318981171,       -0.7133789062,        0.2553710938,        0.0019531250,        5.5084228516,       -8.3770751953,       19.0124511719
1494038874.4346199036,       -0.7050781250,        0.2553710938,        0.0019531250,        5.5084228516,       -8.3770751953,       19.0124511719
1494038874.4372780323,       -0.7050781250,        0.2553710938,        0.0019531250,        5.6915283203,       -8.1939697266,       19.2565917969
1494038874.4400320053,       -0.7050781250,        0.2553710938,        0.0019531250,        5.6915283203,       -8.1939697266,       19.2565917969
1494038874.4430820942,       -0.7133789062,        0.2597656250,        0.0048828125,        6.4697265625,       -8.1024169922,       19.1192626953
1494038874.4456610680,       -0.7133789062,        0.2597656250,        0.0048828125,        6.4697265625,       -8.1024169922,       19.1192626953
1494038874.4482200146,       -0.7133789062,        0.2597656250,        0.0048828125,        7.4005126953,       -8.3160400391,       19.5007324219
1494038874.4507789612,       -0.7133789062,        0.2597656250,        0.0048828125,        7.4005126953,       -8.3160400391,       19.5007324219
1494038874.4533400536,       -0.7060546875,        0.2592773438,       -0.0146484375,        7.6293945312,       -7.7819824219,       19.6685791016
1494038874.4561440945,       -0.7060546875,        0.2592773438,       -0.0146484375,        7.6293945312,       -7.7819824219,       19.6685791016
1494038874.4588339329,       -0.7060546875,        0.2592773438,       -0.0146484375,        8.3770751953,       -7.6293945312,       20.2789306641
1494038874.4615230560,       -0.7060546875,        0.2592773438,       -0.0029296875,        8.3770751953,       -7.6293945312,       20.2789306641
1494038874.4642651081,       -0.7148437500,        0.2583007812,       -0.0029296875,        8.4381103516,       -7.5988769531,       20.7672119141
1494038874.4669589996,       -0.7148437500,        0.2583007812,       -0.0029296875,        8.4381103516,       -7.5988769531,       20.7672119141
1494038874.4696569443,       -0.7148437500,        0.2583007812,       -0.0029296875,        9.2010498047,       -7.1563720703,       20.9350585938
1494038874.4723470211,       -0.7148437500,        0.2421875000,       -0.0043945312,        9.2010498047,       -7.1563720703,       20.9350585938
