time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494038397.0088770390,       -1.0727539062,       -0.1391601562,       -0.2792968750,     -154.7698974609,       16.4337158203,       81.8328857422
1494038397.0173890591,       -0.9448242188,        0.7719726562,        0.0302734375,     -154.7698974609,        4.7149658203,       97.3205566406
1494038397.0203928947,       -0.9448242188,        0.7719726562,        0.0302734375,     -136.4593505859,        6.1950683594,       97.3205566406
1494038397.0241930485,       -0.9448242188,        0.7719726562,        0.1552734375,     -102.8900146484,       -1.1901855469,      102.6916503906
1494038397.0281920433,       -0.8247070312,        0.6132812500,        0.1835937500,      -67.1234130859,       -6.5002441406,       96.0845947266
1494038397.0321519375,       -0.8247070312,        0.6132812500,        0.1835937500,      -67.1234130859,       -6.5002441406,       96.0845947266
1494038397.0349059105,       -0.8247070312,        0.6132812500,        0.0585937500,      -38.5284423828,      -12.9699707031,       85.0524902344
1494038397.0376079082,       -0.6977539062,        0.1870117188,        0.0048828125,      -38.5284423828,      -12.9699707031,       85.0524902344
1494038397.0403079987,       -0.6977539062,        0.1870117188,        0.0048828125,      -15.1977539062,      -17.5781250000,       79.2388916016
1494038397.0430068970,       -0.6977539062,        0.1870117188,        0.0048828125,      -15.1977539062,      -17.5781250000,       79.2388916016
1494038397.0457129478,       -0.6977539062,        0.5263671875,       -0.0986328125,       -7.0495605469,      -21.6674804688,       79.9865722656
1494038397.0484180450,       -0.7973632812,        0.5263671875,       -0.0986328125,       -7.0495605469,      -21.6674804688,       79.9865722656
1494038397.0511119366,       -0.7973632812,        0.5263671875,       -0.0986328125,        4.7454833984,      -23.8342285156,       90.6524658203
1494038397.0537829399,       -0.7973632812,        0.5263671875,       -0.0986328125,        4.7454833984,      -23.8342285156,       90.6524658203
1494038397.0563299656,       -1.1752929688,        1.4028320312,       -0.1098632812,       21.2554931641,      -20.4925537109,      103.4088134766
1494038397.0588889122,       -1.1752929688,        1.4028320312,       -0.1098632812,       21.2554931641,      -20.4925537109,      103.4088134766
1494038397.0614430904,       -1.1752929688,        1.4028320312,       -0.1098632812,       30.3955078125,      -28.7780761719,      103.6376953125
1494038397.0640490055,       -1.1752929688,        1.4028320312,       -0.1098632812,       30.3955078125,      -28.7780761719,      103.6376953125
1494038397.0668649673,       -0.9550781250,        0.6953125000,        0.0283203125,       40.7562255859,      -31.9366455078,       96.2219238281
1494038397.0694260597,       -0.9550781250,        0.6953125000,        0.0283203125,       40.7562255859,      -31.9366455078,       96.2219238281
1494038397.0719840527,       -0.9550781250,        0.6953125000,        0.0283203125,       32.9437255859,      -32.4096679688,       89.1265869141
1494038397.0747330189,       -0.9550781250,        0.6953125000,        0.0283203125,       35.0189208984,      -32.4096679688,       89.1265869141
1494038397.0772929192,       -0.7329101562,       -0.2695312500,       -0.0976562500,       35.0189208984,      -36.3159179688,       81.7871093750
1494038397.0798530579,       -0.7329101562,       -0.2695312500,       -0.0976562500,       18.9666748047,      -37.3840332031,       81.7871093750
1494038397.0824079514,       -0.7329101562,       -0.2695312500,       -0.0976562500,       18.9666748047,      -37.3840332031,       82.5958251953
1494038397.0852088928,       -0.7329101562,       -0.2695312500,       -0.0976562500,        3.4942626953,      -37.5976562500,       82.5958251953
1494038397.0879030228,       -0.5336914062,       -0.0151367188,       -0.1909179688,        3.4942626953,      -37.5976562500,       83.8165283203
1494038397.0905950069,       -0.5336914062,       -0.0151367188,       -0.1909179688,      -12.4206542969,      -34.0576171875,       83.8165283203
1494038397.0934889317,       -0.5336914062,       -0.0151367188,       -0.1909179688,      -12.4206542969,      -34.0576171875,       82.0465087891
1494038397.0961899757,       -0.5336914062,        0.4379882812,        0.0092773438,      -17.9748535156,      -31.2652587891,       82.0465087891
1494038397.0988950729,       -0.6142578125,        0.4379882812,        0.0092773438,      -17.9748535156,      -27.3590087891,       78.0487060547
1494038397.1015920639,       -0.6142578125,        0.4379882812,        0.0092773438,      -18.7683105469,      -30.6396484375,       78.0487060547
1494038397.1042549610,       -0.6142578125,        0.4379882812,        0.0092773438,      -18.7683105469,      -30.6396484375,       70.9991455078
1494038397.1068139076,       -0.6958007812,        0.3183593750,        0.0766601562,      -16.8457031250,      -31.0058593750,       70.9991455078
1494038397.1093680859,       -0.6958007812,        0.3183593750,        0.0766601562,      -16.8457031250,      -31.0058593750,       63.1866455078
1494038397.1119248867,       -0.6958007812,        0.3183593750,        0.0766601562,      -17.2271728516,      -29.3731689453,       63.4765625000
1494038397.1145770550,       -0.6958007812,        0.3183593750,        0.0766601562,      -17.2271728516,      -29.3731689453,       63.4765625000
1494038397.1172759533,       -0.7045898438,        0.1918945312,        0.0166015625,      -23.7579345703,      -26.3824462891,       58.4106445312
1494038397.1199719906,       -0.7045898438,        0.1918945312,        0.0166015625,      -23.7579345703,      -26.3824462891,       58.4106445312
1494038397.1226689816,       -0.7045898438,        0.1918945312,        0.0166015625,      -28.8085937500,      -23.7731933594,       55.9082031250
1494038397.1253790855,       -0.7045898438,        0.1918945312,        0.0166015625,      -28.8085937500,      -23.7731933594,       55.9082031250
1494038397.1280748844,       -0.7583007812,        0.1865234375,        0.0668945312,      -29.3884277344,      -22.2778320312,       53.9703369141
1494038397.1307690144,       -0.7583007812,        0.1865234375,        0.0668945312,      -29.3884277344,      -22.2778320312,       53.9703369141
1494038397.1334810257,       -0.7583007812,        0.1865234375,        0.0668945312,      -24.2462158203,      -21.8811035156,       50.3082275391
1494038397.1361749172,       -0.7583007812,        0.1865234375,        0.1308593750,      -24.2462158203,      -21.8811035156,       50.3082275391
1494038397.1388680935,       -0.7675781250,        0.2133789062,        0.1308593750,      -17.3034667969,      -20.7214355469,       46.2799072266
1494038397.1416270733,       -0.7675781250,        0.2133789062,        0.1308593750,      -17.3034667969,      -20.7214355469,       46.2799072266
1494038397.1443319321,       -0.7675781250,        0.2133789062,        0.1308593750,      -11.6271972656,      -20.3704833984,       43.1518554688
1494038397.1470339298,       -0.7011718750,        0.2495117188,        0.0629882812,      -11.6271972656,      -20.3704833984,       43.1518554688
1494038397.1497359276,       -0.7011718750,        0.2495117188,        0.0629882812,       -7.3394775391,      -21.1181640625,       39.6270751953
